"function evaluation" "best-so-far f(x)"
5453 -1.50000e+01
5482 -1.40000e+01
5599 -1.30000e+01
6022 -1.20000e+01
6564 -1.10000e+01
7109 -1.00000e+01
7242 -9.00000e+00
7386 -8.00000e+00
7449 -7.00000e+00
7817 -6.00000e+00
8027 -5.00000e+00
8986 -4.00000e+00
9611 -3.00000e+00
9981 -3.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
5 -4.80000e+01
19 -4.70000e+01
94 -4.60000e+01
437 -4.50000e+01
474 -4.40000e+01
653 -4.30000e+01
735 -4.20000e+01
792 -4.00000e+01
1087 -3.90000e+01
1308 -3.80000e+01
1467 -3.70000e+01
1535 -3.60000e+01
1924 -3.50000e+01
2347 -3.40000e+01
2601 -3.30000e+01
2682 -3.20000e+01
2918 -3.10000e+01
3244 -3.00000e+01
3465 -2.90000e+01
3732 -2.70000e+01
3800 -2.60000e+01
4036 -2.50000e+01
5285 -2.40000e+01
5524 -2.30000e+01
5686 -2.20000e+01
5748 -2.10000e+01
5882 -2.00000e+01
6530 -1.90000e+01
6933 -1.80000e+01
7002 -1.70000e+01
7119 -1.60000e+01
7469 -1.50000e+01
7724 -1.40000e+01
9280 -1.30000e+01
9314 -1.20000e+01
9436 -1.10000e+01
9651 -1.00000e+01
9891 -9.00000e+00
9981 -9.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
13 -4.80000e+01
99 -4.70000e+01
309 -4.60000e+01
371 -4.50000e+01
515 -4.40000e+01
686 -4.30000e+01
827 -4.20000e+01
1107 -4.10000e+01
1265 -4.00000e+01
1269 -3.90000e+01
1433 -3.80000e+01
1599 -3.70000e+01
1758 -3.60000e+01
1907 -3.50000e+01
2258 -3.40000e+01
2285 -3.30000e+01
2320 -3.10000e+01
2428 -3.00000e+01
3237 -2.90000e+01
3334 -2.80000e+01
3461 -2.70000e+01
3966 -2.60000e+01
4024 -2.50000e+01
4404 -2.40000e+01
4510 -2.30000e+01
4537 -2.20000e+01
5063 -2.10000e+01
5213 -2.00000e+01
5246 -1.90000e+01
5254 -1.80000e+01
5663 -1.70000e+01
6008 -1.60000e+01
6359 -1.50000e+01
6684 -1.40000e+01
7451 -1.30000e+01
7888 -1.20000e+01
7975 -1.10000e+01
7980 -1.00000e+01
8314 -9.00000e+00
8489 -8.00000e+00
9097 -7.00000e+00
9371 -6.00000e+00
9981 -6.00000e+00
"function evaluation" "best-so-far f(x)"
1 -4.90000e+01
67 -4.80000e+01
132 -4.70000e+01
236 -4.60000e+01
351 -4.50000e+01
429 -4.40000e+01
518 -4.30000e+01
649 -4.20000e+01
907 -4.10000e+01
969 -4.00000e+01
1055 -3.90000e+01
1652 -3.80000e+01
1754 -3.70000e+01
2079 -3.60000e+01
2135 -3.50000e+01
2468 -3.30000e+01
2946 -3.20000e+01
3136 -3.10000e+01
3139 -3.00000e+01
3191 -2.90000e+01
3740 -2.80000e+01
3890 -2.70000e+01
3937 -2.60000e+01
4112 -2.50000e+01
